label,text
1,This product is amazing! I loved it and it worked as expected.
0,Worst purchase ever. Totally fake quality and not worth the price.
1,"Fast shipping and excellent customer service, highly recommend."
0,Fake review alert. This is spammy and looks generated.
1,"Great value for money, would buy again for sure."
0,"Terrible item, broke after one day. Do not waste your money."
1,"Exactly as described. Perfect fit, five stars."
0,This review is not genuine. Misleading and likely fabricated.
1,"High quality and durable, super happy with the purchase."
0,Defective on arrival and support refused to help. Very disappointed.
